timestamp;object;posX;posY;posZ;rotW;rotX;rotY;rotZ
44.666;obstacle;1.737;1.200;-0.994;-0.259;0.000;0.966;0.000
47.007;obstacle;1.835;1.200;-1.859;-0.951;0.000;0.309;0.000
47.028;obstacle;1.808;1.200;-1.847;-0.951;0.000;0.309;0.000
47.126;obstacle;1.660;1.200;-1.801;-0.951;0.000;0.309;0.000
47.149;obstacle;1.626;1.200;-1.795;-0.951;0.000;0.309;0.000
47.168;obstacle;1.591;1.200;-1.789;-0.951;0.000;0.309;0.000
47.866;obstacle;0.369;1.200;-1.595;-0.951;0.000;0.309;0.000
47.890;obstacle;0.334;1.200;-1.590;-0.951;0.000;0.309;0.000
47.991;obstacle;0.160;1.200;-1.562;-0.951;0.000;0.309;0.000
48.106;obstacle;-0.050;1.200;-1.529;-0.951;0.000;0.309;0.000
48.207;obstacle;-0.234;1.200;-1.496;-0.974;0.000;0.225;0.000
48.330;obstacle;-0.443;1.200;-1.416;-0.993;0.000;0.122;0.000
48.368;obstacle;-0.509;1.200;-1.380;-0.996;0.000;0.087;0.000
48.368;obstacle;-0.509;1.200;-1.380;-0.996;0.000;0.087;0.000
