timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
42.050;-1.152;1.600;1.165;0.500;0.000;0.866;0.000;-1.152;1.600;1.165;0.500;0.000;0.866;0.000;-1.152;1.600;1.165;0.500;0.000;0.866;0.000;
42.104;-1.127;1.600;1.108;0.500;0.000;0.866;0.000;-1.127;1.600;1.108;0.500;0.000;0.866;0.000;-1.127;1.600;1.108;0.500;0.000;0.866;0.000;
42.154;-1.096;1.600;1.013;0.500;0.000;0.866;0.000;-1.096;1.600;1.013;0.500;0.000;0.866;0.000;-1.096;1.600;1.013;0.500;0.000;0.866;0.000;
42.211;-1.068;1.600;0.911;0.500;0.000;0.866;0.000;-1.068;1.600;0.911;0.500;0.000;0.866;0.000;-1.068;1.600;0.911;0.500;0.000;0.866;0.000;
42.261;-1.050;1.600;0.842;0.500;0.000;0.866;0.000;-1.050;1.600;0.842;0.500;0.000;0.866;0.000;-1.050;1.600;0.842;0.500;0.000;0.866;0.000;
42.314;-1.023;1.600;0.740;0.500;0.000;0.866;0.000;-1.023;1.600;0.740;0.500;0.000;0.866;0.000;-1.023;1.600;0.740;0.500;0.000;0.866;0.000;
42.367;-0.995;1.600;0.637;0.500;0.000;0.866;0.000;-0.995;1.600;0.637;0.500;0.000;0.866;0.000;-0.995;1.600;0.637;0.500;0.000;0.866;0.000;
42.417;-0.977;1.600;0.569;0.500;0.000;0.866;0.000;-0.977;1.600;0.569;0.500;0.000;0.866;0.000;-0.977;1.600;0.569;0.500;0.000;0.866;0.000;
42.469;-0.949;1.600;0.467;0.500;0.000;0.866;0.000;-0.949;1.600;0.467;0.500;0.000;0.866;0.000;-0.949;1.600;0.467;0.500;0.000;0.866;0.000;
42.521;-0.931;1.600;0.398;0.500;0.000;0.866;0.000;-0.931;1.600;0.398;0.500;0.000;0.866;0.000;-0.931;1.600;0.398;0.500;0.000;0.866;0.000;
42.573;-0.903;1.600;0.297;0.500;0.000;0.866;0.000;-0.903;1.600;0.297;0.500;0.000;0.866;0.000;-0.903;1.600;0.297;0.500;0.000;0.866;0.000;
42.627;-0.870;1.600;0.205;0.500;0.000;0.866;0.000;-0.870;1.600;0.205;0.500;0.000;0.866;0.000;-0.870;1.600;0.205;0.500;0.000;0.866;0.000;
42.678;-0.844;1.600;0.149;0.500;0.000;0.866;0.000;-0.844;1.600;0.149;0.500;0.000;0.866;0.000;-0.844;1.600;0.149;0.500;0.000;0.866;0.000;
42.731;-0.799;1.600;0.077;0.500;0.000;0.866;0.000;-0.799;1.600;0.077;0.500;0.000;0.866;0.000;-0.799;1.600;0.077;0.500;0.000;0.866;0.000;
42.782;-0.766;1.600;0.035;0.500;0.000;0.866;0.000;-0.766;1.600;0.035;0.500;0.000;0.866;0.000;-0.766;1.600;0.035;0.500;0.000;0.866;0.000;
42.835;-0.710;1.600;-0.019;0.500;0.000;0.866;0.000;-0.710;1.600;-0.019;0.500;0.000;0.866;0.000;-0.710;1.600;-0.019;0.500;0.000;0.866;0.000;
42.887;-0.647;1.600;-0.060;0.500;0.000;0.866;0.000;-0.647;1.600;-0.060;0.500;0.000;0.866;0.000;-0.647;1.600;-0.060;0.500;0.000;0.866;0.000;
42.939;-0.604;1.600;-0.085;0.500;0.000;0.866;0.000;-0.604;1.600;-0.085;0.500;0.000;0.866;0.000;-0.604;1.600;-0.085;0.500;0.000;0.866;0.000;
42.991;-0.539;1.600;-0.123;0.500;0.000;0.866;0.000;-0.539;1.600;-0.123;0.500;0.000;0.866;0.000;-0.539;1.600;-0.123;0.500;0.000;0.866;0.000;
43.043;-0.496;1.600;-0.148;0.500;0.000;0.866;0.000;-0.496;1.600;-0.148;0.500;0.000;0.866;0.000;-0.496;1.600;-0.148;0.500;0.000;0.866;0.000;
43.094;-0.431;1.600;-0.185;0.500;0.000;0.866;0.000;-0.431;1.600;-0.185;0.500;0.000;0.866;0.000;-0.431;1.600;-0.185;0.500;0.000;0.866;0.000;
43.144;-0.387;1.600;-0.210;0.500;0.000;0.866;0.000;-0.387;1.600;-0.210;0.500;0.000;0.866;0.000;-0.387;1.600;-0.210;0.500;0.000;0.866;0.000;
43.195;-0.323;1.600;-0.248;0.500;0.000;0.866;0.000;-0.323;1.600;-0.248;0.500;0.000;0.866;0.000;-0.323;1.600;-0.248;0.500;0.000;0.866;0.000;
43.246;-0.279;1.600;-0.273;0.500;0.000;0.866;0.000;-0.279;1.600;-0.273;0.500;0.000;0.866;0.000;-0.279;1.600;-0.273;0.500;0.000;0.866;0.000;
43.300;-0.214;1.600;-0.310;0.500;0.000;0.866;0.000;-0.214;1.600;-0.310;0.500;0.000;0.866;0.000;-0.214;1.600;-0.310;0.500;0.000;0.866;0.000;
43.352;-0.149;1.600;-0.348;0.500;0.000;0.866;0.000;-0.149;1.600;-0.348;0.500;0.000;0.866;0.000;-0.149;1.600;-0.348;0.500;0.000;0.866;0.000;
43.405;-0.106;1.600;-0.372;0.500;0.000;0.866;0.000;-0.106;1.600;-0.372;0.500;0.000;0.866;0.000;-0.106;1.600;-0.372;0.500;0.000;0.866;0.000;
43.458;-0.036;1.600;-0.401;0.500;0.000;0.866;0.000;-0.036;1.600;-0.401;0.500;0.000;0.866;0.000;-0.036;1.600;-0.401;0.500;0.000;0.866;0.000;
43.515;0.041;1.600;-0.418;0.500;0.000;0.866;0.000;0.041;1.600;-0.418;0.500;0.000;0.866;0.000;0.041;1.600;-0.418;0.500;0.000;0.866;0.000;
43.567;0.124;1.600;-0.424;0.500;0.000;0.866;0.000;0.124;1.600;-0.424;0.500;0.000;0.866;0.000;0.124;1.600;-0.424;0.500;0.000;0.866;0.000;
43.618;0.184;1.600;-0.421;0.500;0.000;0.866;0.000;0.184;1.600;-0.421;0.500;0.000;0.866;0.000;0.184;1.600;-0.421;0.500;0.000;0.866;0.000;
43.672;0.278;1.600;-0.407;0.500;0.000;0.866;0.000;0.278;1.600;-0.407;0.500;0.000;0.866;0.000;0.278;1.600;-0.407;0.500;0.000;0.866;0.000;
43.723;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;0.345;1.600;-0.392;0.500;0.000;0.866;0.000;
43.776;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;0.445;1.600;-0.369;0.500;0.000;0.866;0.000;
43.826;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;0.547;1.600;-0.346;0.454;0.000;0.891;0.000;
43.882;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;0.617;1.600;-0.336;0.423;0.000;0.906;0.000;
43.932;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;0.723;1.600;-0.331;0.375;0.000;0.927;0.000;
43.983;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;0.794;1.600;-0.333;0.342;0.000;0.940;0.000;
44.035;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;0.899;1.600;-0.346;0.292;0.000;0.956;0.000;
44.087;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;1.002;1.600;-0.370;0.242;0.000;0.970;0.000;
44.138;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;1.070;1.600;-0.392;0.208;0.000;0.978;0.000;
44.193;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;1.167;1.600;-0.433;0.156;0.000;0.988;0.000;
44.243;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;1.230;1.600;-0.466;0.122;0.000;0.993;0.000;
44.297;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;1.319;1.600;-0.524;0.070;0.000;0.998;0.000;
44.348;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;1.401;1.600;-0.591;0.017;0.000;1.000;0.000;
44.402;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;1.452;1.600;-0.640;-0.017;0.000;1.000;0.000;
