timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
39.262;-0.636;1.600;-1.603;-0.719;0.000;-0.695;0.000;-0.636;1.600;-1.603;-0.719;0.000;-0.695;0.000;-0.636;1.600;-1.603;-0.719;0.000;-0.695;0.000;
39.314;-0.558;1.600;-1.675;-0.719;0.000;-0.695;0.000;-0.558;1.600;-1.675;-0.719;0.000;-0.695;0.000;-0.558;1.600;-1.675;-0.719;0.000;-0.695;0.000;
39.368;-0.480;1.600;-1.748;-0.719;0.000;-0.695;0.000;-0.480;1.600;-1.748;-0.719;0.000;-0.695;0.000;-0.480;1.600;-1.748;-0.719;0.000;-0.695;0.000;
39.426;-0.403;1.600;-1.820;-0.719;0.000;-0.695;0.000;-0.403;1.600;-1.820;-0.719;0.000;-0.695;0.000;-0.403;1.600;-1.820;-0.719;0.000;-0.695;0.000;
39.477;-0.351;1.600;-1.868;-0.719;0.000;-0.695;0.000;-0.351;1.600;-1.868;-0.719;0.000;-0.695;0.000;-0.351;1.600;-1.868;-0.719;0.000;-0.695;0.000;
39.530;-0.274;1.600;-1.939;-0.719;0.000;-0.695;0.000;-0.274;1.600;-1.939;-0.719;0.000;-0.695;0.000;-0.274;1.600;-1.939;-0.719;0.000;-0.695;0.000;
39.584;-0.197;1.600;-1.998;-0.719;0.000;-0.695;0.000;-0.197;1.600;-1.998;-0.719;0.000;-0.695;0.000;-0.197;1.600;-1.998;-0.719;0.000;-0.695;0.000;
39.638;-0.145;1.600;-2.030;-0.719;0.000;-0.695;0.000;-0.145;1.600;-2.030;-0.719;0.000;-0.695;0.000;-0.145;1.600;-2.030;-0.719;0.000;-0.695;0.000;
39.689;-0.069;1.600;-2.066;-0.719;0.000;-0.695;0.000;-0.069;1.600;-2.066;-0.719;0.000;-0.695;0.000;-0.069;1.600;-2.066;-0.719;0.000;-0.695;0.000;
39.742;-0.018;1.600;-2.083;-0.719;0.000;-0.695;0.000;-0.018;1.600;-2.083;-0.719;0.000;-0.695;0.000;-0.018;1.600;-2.083;-0.719;0.000;-0.695;0.000;
39.793;0.057;1.600;-2.097;-0.719;0.000;-0.695;0.000;0.057;1.600;-2.097;-0.719;0.000;-0.695;0.000;0.057;1.600;-2.097;-0.719;0.000;-0.695;0.000;
39.844;0.132;1.600;-2.098;-0.719;0.000;-0.695;0.000;0.132;1.600;-2.098;-0.719;0.000;-0.695;0.000;0.132;1.600;-2.098;-0.719;0.000;-0.695;0.000;
