timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
49.220;1.105;1.600;-0.849;0.707;0.000;0.707;0.000;1.105;1.600;-0.849;0.707;0.000;0.707;0.000;1.105;1.600;-0.849;0.707;0.000;0.707;0.000;
49.273;1.180;1.600;-0.924;0.707;0.000;0.707;0.000;1.180;1.600;-0.924;0.707;0.000;0.707;0.000;1.180;1.600;-0.924;0.707;0.000;0.707;0.000;
49.323;1.230;1.600;-0.974;0.707;0.000;0.707;0.000;1.230;1.600;-0.974;0.707;0.000;0.707;0.000;1.230;1.600;-0.974;0.707;0.000;0.707;0.000;
49.377;1.305;1.600;-1.049;0.707;0.000;0.707;0.000;1.305;1.600;-1.049;0.707;0.000;0.707;0.000;1.305;1.600;-1.049;0.707;0.000;0.707;0.000;
49.429;1.355;1.600;-1.099;0.707;0.000;0.707;0.000;1.355;1.600;-1.099;0.707;0.000;0.707;0.000;1.355;1.600;-1.099;0.707;0.000;0.707;0.000;
49.482;1.430;1.600;-1.174;0.707;0.000;0.707;0.000;1.430;1.600;-1.174;0.707;0.000;0.707;0.000;1.430;1.600;-1.174;0.707;0.000;0.707;0.000;
49.535;1.505;1.600;-1.249;0.707;0.000;0.707;0.000;1.505;1.600;-1.249;0.707;0.000;0.707;0.000;1.505;1.600;-1.249;0.707;0.000;0.707;0.000;
49.585;1.555;1.600;-1.299;0.707;0.000;0.707;0.000;1.555;1.600;-1.299;0.707;0.000;0.707;0.000;1.555;1.600;-1.299;0.707;0.000;0.707;0.000;
49.636;1.630;1.600;-1.374;0.707;0.000;0.707;0.000;1.630;1.600;-1.374;0.707;0.000;0.707;0.000;1.630;1.600;-1.374;0.707;0.000;0.707;0.000;
49.691;1.680;1.600;-1.424;0.707;0.000;0.707;0.000;1.680;1.600;-1.424;0.707;0.000;0.707;0.000;1.680;1.600;-1.424;0.707;0.000;0.707;0.000;
49.744;1.755;1.600;-1.499;0.707;0.000;0.707;0.000;1.755;1.600;-1.499;0.707;0.000;0.707;0.000;1.755;1.600;-1.499;0.707;0.000;0.707;0.000;
49.795;1.830;1.600;-1.574;0.707;0.000;0.707;0.000;1.830;1.600;-1.574;0.707;0.000;0.707;0.000;1.830;1.600;-1.574;0.707;0.000;0.707;0.000;
49.848;1.880;1.600;-1.624;0.707;0.000;0.707;0.000;1.880;1.600;-1.624;0.707;0.000;0.707;0.000;1.880;1.600;-1.624;0.707;0.000;0.707;0.000;
49.899;1.955;1.600;-1.699;0.707;0.000;0.707;0.000;1.955;1.600;-1.699;0.707;0.000;0.707;0.000;1.955;1.600;-1.699;0.707;0.000;0.707;0.000;
49.950;2.005;1.600;-1.749;0.707;0.000;0.707;0.000;2.005;1.600;-1.749;0.707;0.000;0.707;0.000;2.005;1.600;-1.749;0.707;0.000;0.707;0.000;
50.003;2.080;1.600;-1.823;0.707;0.000;0.707;0.000;2.080;1.600;-1.823;0.707;0.000;0.707;0.000;2.080;1.600;-1.823;0.707;0.000;0.707;0.000;
50.057;2.155;1.600;-1.887;0.707;0.000;0.707;0.000;2.155;1.600;-1.887;0.707;0.000;0.707;0.000;2.155;1.600;-1.887;0.707;0.000;0.707;0.000;
50.108;2.205;1.600;-1.922;0.707;0.000;0.707;0.000;2.205;1.600;-1.922;0.707;0.000;0.707;0.000;2.205;1.600;-1.922;0.707;0.000;0.707;0.000;
50.158;2.280;1.600;-1.963;0.707;0.000;0.707;0.000;2.280;1.600;-1.963;0.707;0.000;0.707;0.000;2.280;1.600;-1.963;0.707;0.000;0.707;0.000;
50.212;2.330;1.600;-1.982;0.707;0.000;0.707;0.000;2.330;1.600;-1.982;0.707;0.000;0.707;0.000;2.330;1.600;-1.982;0.707;0.000;0.707;0.000;
50.264;2.405;1.600;-2.017;0.707;0.000;0.707;0.000;2.405;1.600;-2.017;0.707;0.000;0.707;0.000;2.405;1.600;-2.017;0.707;0.000;0.707;0.000;
50.316;2.480;1.600;-2.066;0.707;0.000;0.707;0.000;2.480;1.600;-2.066;0.707;0.000;0.707;0.000;2.480;1.600;-2.066;0.707;0.000;0.707;0.000;
50.368;2.528;1.600;-2.105;0.707;0.000;0.707;0.000;2.528;1.600;-2.105;0.707;0.000;0.707;0.000;2.528;1.600;-2.105;0.707;0.000;0.707;0.000;
50.419;2.588;1.600;-2.176;0.707;0.000;0.707;0.000;2.588;1.600;-2.176;0.707;0.000;0.707;0.000;2.588;1.600;-2.176;0.707;0.000;0.707;0.000;
50.470;2.620;1.600;-2.226;0.707;0.000;0.707;0.000;2.620;1.600;-2.226;0.707;0.000;0.707;0.000;2.620;1.600;-2.226;0.707;0.000;0.707;0.000;
50.528;2.631;1.600;-2.301;0.707;0.000;0.707;0.000;2.631;1.600;-2.301;0.707;0.000;0.707;0.000;2.631;1.600;-2.301;0.707;0.000;0.707;0.000;
50.585;2.614;1.600;-2.372;0.707;0.000;0.707;0.000;2.614;1.600;-2.372;0.707;0.000;0.707;0.000;2.614;1.600;-2.372;0.707;0.000;0.707;0.000;
50.640;2.583;1.600;-2.390;0.707;0.000;0.707;0.000;2.583;1.600;-2.390;0.707;0.000;0.707;0.000;2.583;1.600;-2.390;0.707;0.000;0.707;0.000;
50.690;2.555;1.600;-2.381;0.707;0.000;0.707;0.000;2.555;1.600;-2.381;0.707;0.000;0.707;0.000;2.555;1.600;-2.381;0.707;0.000;0.707;0.000;
50.740;2.502;1.600;-2.357;0.707;0.000;0.707;0.000;2.502;1.600;-2.357;0.707;0.000;0.707;0.000;2.502;1.600;-2.357;0.707;0.000;0.707;0.000;
50.791;2.459;1.600;-2.334;0.707;0.000;0.707;0.000;2.459;1.600;-2.334;0.707;0.000;0.707;0.000;2.459;1.600;-2.334;0.707;0.000;0.707;0.000;
50.841;2.386;1.600;-2.287;0.707;0.000;0.707;0.000;2.386;1.600;-2.287;0.707;0.000;0.707;0.000;2.386;1.600;-2.287;0.707;0.000;0.707;0.000;
50.891;2.336;1.600;-2.249;0.707;0.000;0.707;0.000;2.336;1.600;-2.249;0.707;0.000;0.707;0.000;2.336;1.600;-2.249;0.707;0.000;0.707;0.000;
50.941;2.261;1.600;-2.180;0.707;0.000;0.707;0.000;2.261;1.600;-2.180;0.707;0.000;0.707;0.000;2.261;1.600;-2.180;0.707;0.000;0.707;0.000;
50.993;2.186;1.600;-2.105;0.707;0.000;0.707;0.000;2.186;1.600;-2.105;0.707;0.000;0.707;0.000;2.186;1.600;-2.105;0.707;0.000;0.707;0.000;
51.046;2.136;1.600;-2.055;0.707;0.000;0.707;0.000;2.136;1.600;-2.055;0.707;0.000;0.707;0.000;2.136;1.600;-2.055;0.707;0.000;0.707;0.000;
51.099;2.061;1.600;-1.980;0.707;0.000;0.707;0.000;2.061;1.600;-1.980;0.707;0.000;0.707;0.000;2.061;1.600;-1.980;0.707;0.000;0.707;0.000;
51.150;2.011;1.600;-1.930;0.707;0.000;0.707;0.000;2.011;1.600;-1.930;0.707;0.000;0.707;0.000;2.011;1.600;-1.930;0.707;0.000;0.707;0.000;
51.200;1.936;1.600;-1.855;0.707;0.000;0.707;0.000;1.936;1.600;-1.855;0.707;0.000;0.707;0.000;1.936;1.600;-1.855;0.707;0.000;0.707;0.000;
