timestamp;object;posX;posY;posZ;rotW;rotX;rotY;rotZ
86.346;obstacle;1.491;1.200;-1.423;-0.156;0.000;0.988;0.000
86.346;obstacle;1.491;1.200;-1.423;-0.156;0.000;0.988;0.000
86.466;obstacle;1.587;1.200;-1.612;-0.156;0.000;0.988;0.000
86.486;obstacle;1.603;1.200;-1.644;-0.156;0.000;0.988;0.000
86.547;obstacle;1.651;1.200;-1.738;-0.156;0.000;0.988;0.000
86.547;obstacle;1.651;1.200;-1.738;-0.156;0.000;0.988;0.000
90.368;obstacle;0.176;1.200;-1.149;-0.906;0.000;0.423;0.000
90.387;obstacle;0.157;1.200;-1.133;-0.906;0.000;0.423;0.000
90.586;obstacle;-0.035;1.200;-0.972;-0.906;0.000;0.423;0.000
90.586;obstacle;-0.035;1.200;-0.972;-0.906;0.000;0.423;0.000
90.627;obstacle;-0.073;1.200;-0.940;-0.906;0.000;0.423;0.000
90.847;obstacle;-0.285;1.200;-0.765;-0.914;0.000;0.407;0.000
