timestamp;posX;posY;posZ;rotW;rotX;rotY;rotZ;controllerLeftPosX;controllerLeftPosY;controllerLeftPosZ;controllerLeftRotW;controllerLeftRotX;controllerLeftRotY;controllerLeftRotZ;controllerRightPosX;controllerRightPosY;controllerRightPosZ;controllerRightRotW;controllerRightRotX;controllerRightRotY;controllerRightRotZ;
96.657;-0.535;1.600;-0.503;0.407;0.000;0.914;0.000;-0.535;1.600;-0.503;0.407;0.000;0.914;0.000;-0.535;1.600;-0.503;0.407;0.000;0.914;0.000;
96.711;-0.479;1.600;-0.553;0.407;0.000;0.914;0.000;-0.479;1.600;-0.553;0.407;0.000;0.914;0.000;-0.479;1.600;-0.553;0.407;0.000;0.914;0.000;
96.762;-0.442;1.600;-0.586;0.407;0.000;0.914;0.000;-0.442;1.600;-0.586;0.407;0.000;0.914;0.000;-0.442;1.600;-0.586;0.407;0.000;0.914;0.000;
96.813;-0.386;1.600;-0.636;0.407;0.000;0.914;0.000;-0.386;1.600;-0.636;0.407;0.000;0.914;0.000;-0.386;1.600;-0.636;0.407;0.000;0.914;0.000;
96.866;-0.330;1.600;-0.687;0.407;0.000;0.914;0.000;-0.330;1.600;-0.687;0.407;0.000;0.914;0.000;-0.330;1.600;-0.687;0.407;0.000;0.914;0.000;
96.919;-0.293;1.600;-0.720;0.407;0.000;0.914;0.000;-0.293;1.600;-0.720;0.407;0.000;0.914;0.000;-0.293;1.600;-0.720;0.407;0.000;0.914;0.000;
96.973;-0.237;1.600;-0.770;0.407;0.000;0.914;0.000;-0.237;1.600;-0.770;0.407;0.000;0.914;0.000;-0.237;1.600;-0.770;0.407;0.000;0.914;0.000;
97.027;-0.182;1.600;-0.820;0.407;0.000;0.914;0.000;-0.182;1.600;-0.820;0.407;0.000;0.914;0.000;-0.182;1.600;-0.820;0.407;0.000;0.914;0.000;
97.080;-0.145;1.600;-0.854;0.407;0.000;0.914;0.000;-0.145;1.600;-0.854;0.407;0.000;0.914;0.000;-0.145;1.600;-0.854;0.407;0.000;0.914;0.000;
97.133;-0.089;1.600;-0.904;0.407;0.000;0.914;0.000;-0.089;1.600;-0.904;0.407;0.000;0.914;0.000;-0.089;1.600;-0.904;0.407;0.000;0.914;0.000;
97.186;-0.033;1.600;-0.954;0.407;0.000;0.914;0.000;-0.033;1.600;-0.954;0.407;0.000;0.914;0.000;-0.033;1.600;-0.954;0.407;0.000;0.914;0.000;
97.240;0.004;1.600;-0.988;0.407;0.000;0.914;0.000;0.004;1.600;-0.988;0.407;0.000;0.914;0.000;0.004;1.600;-0.988;0.407;0.000;0.914;0.000;
97.296;0.060;1.600;-1.038;0.407;0.000;0.914;0.000;0.060;1.600;-1.038;0.407;0.000;0.914;0.000;0.060;1.600;-1.038;0.407;0.000;0.914;0.000;
97.349;0.116;1.600;-1.088;0.407;0.000;0.914;0.000;0.116;1.600;-1.088;0.407;0.000;0.914;0.000;0.116;1.600;-1.088;0.407;0.000;0.914;0.000;
97.403;0.153;1.600;-1.122;0.407;0.000;0.914;0.000;0.153;1.600;-1.122;0.407;0.000;0.914;0.000;0.153;1.600;-1.122;0.407;0.000;0.914;0.000;
97.454;0.208;1.600;-1.172;0.407;0.000;0.914;0.000;0.208;1.600;-1.172;0.407;0.000;0.914;0.000;0.208;1.600;-1.172;0.407;0.000;0.914;0.000;
97.508;0.264;1.600;-1.222;0.407;0.000;0.914;0.000;0.264;1.600;-1.222;0.407;0.000;0.914;0.000;0.264;1.600;-1.222;0.407;0.000;0.914;0.000;
97.561;0.301;1.600;-1.255;0.407;0.000;0.914;0.000;0.301;1.600;-1.255;0.407;0.000;0.914;0.000;0.301;1.600;-1.255;0.407;0.000;0.914;0.000;
97.613;0.357;1.600;-1.305;0.407;0.000;0.914;0.000;0.357;1.600;-1.305;0.407;0.000;0.914;0.000;0.357;1.600;-1.305;0.407;0.000;0.914;0.000;
97.666;0.420;1.600;-1.348;0.407;0.000;0.914;0.000;0.420;1.600;-1.348;0.407;0.000;0.914;0.000;0.420;1.600;-1.348;0.407;0.000;0.914;0.000;
97.717;0.467;1.600;-1.371;0.407;0.000;0.914;0.000;0.467;1.600;-1.371;0.407;0.000;0.914;0.000;0.467;1.600;-1.371;0.407;0.000;0.914;0.000;
97.772;0.544;1.600;-1.397;0.407;0.000;0.914;0.000;0.544;1.600;-1.397;0.407;0.000;0.914;0.000;0.544;1.600;-1.397;0.407;0.000;0.914;0.000;
97.826;0.630;1.600;-1.413;0.407;0.000;0.914;0.000;0.630;1.600;-1.413;0.407;0.000;0.914;0.000;0.630;1.600;-1.413;0.407;0.000;0.914;0.000;
97.878;0.693;1.600;-1.418;0.407;0.000;0.914;0.000;0.693;1.600;-1.418;0.407;0.000;0.914;0.000;0.693;1.600;-1.418;0.407;0.000;0.914;0.000;
97.928;0.795;1.600;-1.417;0.407;0.000;0.914;0.000;0.795;1.600;-1.417;0.407;0.000;0.914;0.000;0.795;1.600;-1.417;0.407;0.000;0.914;0.000;
97.981;0.865;1.600;-1.414;0.407;0.000;0.914;0.000;0.865;1.600;-1.414;0.407;0.000;0.914;0.000;0.865;1.600;-1.414;0.407;0.000;0.914;0.000;
98.033;0.971;1.600;-1.408;0.407;0.000;0.914;0.000;0.971;1.600;-1.408;0.407;0.000;0.914;0.000;0.971;1.600;-1.408;0.407;0.000;0.914;0.000;
98.091;1.077;1.600;-1.403;0.407;0.000;0.914;0.000;1.077;1.600;-1.403;0.407;0.000;0.914;0.000;1.077;1.600;-1.403;0.407;0.000;0.914;0.000;
98.137;1.146;1.600;-1.401;0.407;0.000;0.914;0.000;1.146;1.600;-1.401;0.407;0.000;0.914;0.000;1.146;1.600;-1.401;0.407;0.000;0.914;0.000;
98.189;1.242;1.600;-1.406;0.407;0.000;0.914;0.000;1.242;1.600;-1.406;0.407;0.000;0.914;0.000;1.242;1.600;-1.406;0.407;0.000;0.914;0.000;
